date,room_type,occupancy_rate,price,year,month,day,dayofweek,weekday,quarter,is_weekend,month_sin,month_cos,day_sin,day_cos,dayofweek_sin,dayofweek_cos,is_holiday,occupancy_rate_lag_1,occupancy_rate_lag_7,occupancy_rate_lag_30,occupancy_rate_rolling_mean_7d,occupancy_rate_rolling_std_7d,occupancy_rate_rolling_mean_30d,occupancy_rate_rolling_std_30d
2024-05-31 01:39:33.269831,Standard,0.4496714153011233,102.24092481810416,2024,5,31,4,Friday,2,0,0.49999999999999994,-0.8660254037844387,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0,,,,0.4496714153011233,,0.4496714153011233,
2024-06-01 01:39:33.269831,Standard,0.46933824620998527,101.87089884294299,2024,6,1,5,Saturday,2,1,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,-0.9749279121818236,-0.2225209339563146,0,0.4496714153011233,,,0.45950483075555426,0.0139065495001055,0.45950483075555426,0.0139065495001055
2024-06-02 01:39:33.269831,Standard,0.6274635110403893,104.46458467269457,2024,6,2,6,Sunday,2,1,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,-0.7818314824680299,0.6234898018587334,0,0.46933824620998527,,,0.515491057517166,0.0974682964892034,0.515491057517166,0.0974682964892034
2024-06-03 01:39:33.269831,Standard,0.7874170865577919,97.496325324828,2024,6,3,0,Monday,2,0,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,0.0,1.0,0,0.6274635110403893,,,0.5834725647773225,0.15754148828522072,0.5834725647773225,0.15754148828522072
2024-06-04 01:39:33.269831,Standard,0.673842592718624,107.20375679059269,2024,6,4,1,Tuesday,2,0,1.2246467991473532e-16,-1.0,0.72479278722912,0.6889669190756866,0.7818314824680298,0.6234898018587336,0,0.7874170865577919,,,0.6015465703655828,0.14229490078131427,0.6015465703655828,0.14229490078131427
2024-06-05 01:39:33.269831,Standard,0.7229964658188575,113.66239179580101,2024,6,5,2,Wednesday,2,0,1.2246467991473532e-16,-1.0,0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434,0,0.673842592718624,,,0.6217882196077952,0.1365892280341309,0.6217882196077952,0.1365892280341309
2024-06-06 01:39:33.269831,Standard,0.9383438880688006,124.90702061883839,2024,6,6,3,Thursday,2,0,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.900968867902419,0,0.7229964658188575,,,0.6670104579593674,0.1728078033630176,0.6670104579593674,0.1728078033630176
2024-06-07 01:39:33.269831,Standard,0.8745522310626002,121.68880304083545,2024,6,7,4,Friday,2,0,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767,-0.433883739117558,-0.9009688679024191,0,0.9383438880688006,0.4496714153011233,,0.7277077173538641,0.15770407332095138,0.6929531795972715,0.1760132343051379
2024-06-08 01:39:33.269831,Standard,0.7508613195538142,135.31369236596552,2024,6,8,5,Saturday,2,1,1.2246467991473532e-16,-1.0,0.9987165071710528,-0.05064916883871264,-0.9749279121818236,-0.2225209339563146,0,0.8745522310626002,0.46933824620998527,,0.7679252992601253,0.1093027728125549,0.6993874173702207,0.16577295032877218
2024-06-09 01:39:33.269831,Standard,0.834678610876658,107.77737408986687,2024,6,9,6,Sunday,2,1,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,-0.7818314824680299,0.6234898018587334,0,0.7508613195538142,0.6274635110403893,,0.7975274563795923,0.09153783697292117,0.7129165367208644,0.16204207437919088
